Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
329,Saturday,7,8/8/2015,"1,752","1,266","1,021",245
330,Sunday,1,8/9/2015,"2,070","1,497","1,231",266
331,Monday,2,8/10/2015,"3,920","2,684","2,139",545
332,Tuesday,3,8/11/2015,"4,106","2,791","2,266",525
333,Wednesday,4,8/12/2015,"4,006","2,726","2,166",560
334,Thursday,5,8/13/2015,"3,827","2,639","2,133",506
335,Friday,6,8/14/2015,"2,944","1,973","1,564",409
336,Saturday,7,8/15/2015,"1,827","1,193",954,239
337,Sunday,1,8/16/2015,"2,373","1,658","1,369",289
338,Monday,2,8/17/2015,"4,031","2,763","2,290",473
339,Tuesday,3,8/18/2015,"4,027","2,780","2,248",532
340,Wednesday,4,8/19/2015,"3,912","2,795","2,291",504
341,Thursday,5,8/20/2015,"3,867","2,715","2,191",524
342,Friday,6,8/21/2015,"3,304","2,238","1,806",432
343,Saturday,7,8/22/2015,"1,685","1,208","1,011",197
344,Sunday,1,8/23/2015,"2,130","1,542","1,282",260
345,Monday,2,8/24/2015,"3,936","2,697","2,182",515
346,Tuesday,3,8/25/2015,"4,029","2,744","2,203",541
347,Wednesday,4,8/26/2015,"4,010","2,789","2,237",552
348,Thursday,5,8/27/2015,"4,027","2,890","2,392",498
349,Friday,6,8/28/2015,"2,829","2,000","1,585",415
350,Saturday,7,8/29/2015,"1,736","1,227","1,023",204
351,Sunday,1,8/30/2015,"2,517","1,686","1,416",270
352,Monday,2,8/31/2015,"4,029","2,769","2,299",470
353,Tuesday,3,9/1/2015,"4,261","2,890","2,358",532
354,Wednesday,4,9/2/2015,"4,058","2,923","2,442",481
355,Thursday,5,9/3/2015,"4,392","3,007","2,466",541
356,Friday,6,9/4/2015,"3,072","2,221","1,846",375
357,Saturday,7,9/5/2015,"1,799","1,284","1,068",216
358,Sunday,1,9/6/2015,"2,341","1,611","1,345",266
359,Monday,2,9/7/2015,"3,330","2,354","1,963",391
360,Tuesday,3,9/8/2015,"4,734","3,381","2,833",548
361,Wednesday,4,9/9/2015,"4,801","3,381","2,845",536
362,Thursday,5,9/10/2015,"4,399","3,079","2,575",504
363,Friday,6,9/11/2015,"3,275","2,375","1,958",417
364,Saturday,7,9/12/2015,"2,042","1,429","1,223",206
365,Sunday,1,9/13/2015,"2,827","2,103","1,844",259
366,Monday,2,9/14/2015,"4,836","3,437","2,954",483
367,Tuesday,3,9/15/2015,"4,840","3,465","2,944",521
368,Wednesday,4,9/16/2015,"4,504","3,356","2,902",454
369,Thursday,5,9/17/2015,"4,379","3,240","2,736",504
370,Friday,6,9/18/2015,"3,391","2,428","2,024",404
371,Saturday,7,9/19/2015,"2,045","1,513","1,278",235
372,Sunday,1,9/20/2015,"2,721","2,081","1,817",264
373,Monday,2,9/21/2015,"4,630","3,535","2,998",537
374,Tuesday,3,9/22/2015,"4,748","3,540","3,004",536
375,Wednesday,4,9/23/2015,"4,702","3,377","2,893",484
376,Thursday,5,9/24/2015,"4,440","3,309","2,827",482
377,Friday,6,9/25/2015,"3,513","2,518","2,116",402
378,Saturday,7,9/26/2015,"2,253","1,633","1,395",238
379,Sunday,1,9/27/2015,"3,141","2,291","1,980",311
380,Monday,2,9/28/2015,"5,122","3,808","3,289",519
381,Tuesday,3,9/29/2015,"5,151","3,868","3,305",563
382,Wednesday,4,9/30/2015,"4,969","3,703","3,182",521
383,Thursday,5,10/1/2015,"4,619","3,365","2,876",489
384,Friday,6,10/2/2015,"3,443","2,598","2,196",402
385,Saturday,7,10/3/2015,"2,302","1,754","1,503",251
386,Sunday,1,10/4/2015,"3,291","2,506","2,173",333
387,Monday,2,10/5/2015,"5,206","3,737","3,170",567
388,Tuesday,3,10/6/2015,"5,474","3,940","3,337",603
389,Wednesday,4,10/7/2015,"5,400","3,934","3,350",584
390,Thursday,5,10/8/2015,"5,334","3,821","3,244",577
391,Friday,6,10/9/2015,"4,174","3,022","2,547",475
392,Saturday,7,10/10/2015,"2,571","1,853","1,597",256
393,Sunday,1,10/11/2015,"3,572","2,636","2,283",353
394,Monday,2,10/12/2015,"5,018","3,788","3,241",547
395,Tuesday,3,10/13/2015,"5,565","4,159","3,536",623
396,Wednesday,4,10/14/2015,"5,420","4,048","3,403",645
397,Thursday,5,10/15/2015,"5,366","3,908","3,331",577
398,Friday,6,10/16/2015,"4,091","3,002","2,507",495
399,Saturday,7,10/17/2015,"2,824","2,087","1,770",317
400,Sunday,1,10/18/2015,"3,843","2,825","2,441",384
401,Monday,2,10/19/2015,"5,516","4,140","3,491",649
402,Tuesday,3,10/20/2015,"5,572","4,121","3,460",661
403,Wednesday,4,10/21/2015,"5,243","3,882","3,298",584
404,Thursday,5,10/22/2015,"5,133","3,720","3,104",616
405,Friday,6,10/23/2015,"4,084","2,947","2,441",506
406,Saturday,7,10/24/2015,"2,739","1,978","1,647",331
407,Sunday,1,10/25/2015,"3,781","2,857","2,435",422
408,Monday,2,10/26/2015,"5,684","4,073","3,417",656
409,Tuesday,3,10/27/2015,"5,687","4,179","3,534",645
410,Wednesday,4,10/28/2015,"5,906","4,266","3,614",652
411,Thursday,5,10/29/2015,"5,541","4,020","3,368",652
412,Friday,6,10/30/2015,"4,171","3,043","2,501",542
413,Saturday,7,10/31/2015,"2,586","1,820","1,496",324
414,Sunday,1,11/1/2015,"3,838","2,922","2,456",466
415,Monday,2,11/2/2015,"5,675","4,076","3,419",657
416,Tuesday,3,11/3/2015,"5,624","4,178","3,504",674
417,Wednesday,4,11/4/2015,"5,794","4,316","3,670",646
418,Thursday,5,11/5/2015,"5,389","4,031","3,379",652
419,Friday,6,11/6/2015,"4,305","3,047","2,522",525
420,Saturday,7,11/7/2015,"3,281","2,202","1,854",348
421,Sunday,1,11/8/2015,"3,790","2,837","2,418",419
422,Monday,2,11/9/2015,"5,894","4,203","3,487",716
423,Tuesday,3,11/10/2015,"5,461","4,048","3,388",660
424,Wednesday,4,11/11/2015,"5,206","3,869","3,219",650
425,Thursday,5,11/12/2015,"5,228","3,929","3,281",648
426,Friday,6,11/13/2015,"4,097","2,971","2,436",535
427,Saturday,7,11/14/2015,"2,694","1,964","1,616",348
428,Sunday,1,11/15/2015,"3,893","2,930","2,483",447
429,Monday,2,11/16/2015,"6,185","4,550","3,872",678
430,Tuesday,3,11/17/2015,"6,178","4,503","3,795",708
431,Wednesday,4,11/18/2015,"6,067","4,397","3,693",704
432,Thursday,5,11/19/2015,"5,656","4,166","3,487",679
433,Friday,6,11/20/2015,"4,398","3,173","2,645",528
434,Saturday,7,11/21/2015,"2,836","2,086","1,741",345
435,Sunday,1,11/22/2015,"3,896","2,927","2,424",503
436,Monday,2,11/23/2015,"5,814","4,236","3,543",693
437,Tuesday,3,11/24/2015,"5,879","4,140","3,475",665
438,Wednesday,4,11/25/2015,"4,800","3,457","2,836",621
439,Thursday,5,11/26/2015,"3,838","2,825","2,334",491
440,Friday,6,11/27/2015,"3,576","2,579","2,118",461
441,Saturday,7,11/28/2015,"2,799","1,974","1,652",322
442,Sunday,1,11/29/2015,"4,228","3,127","2,605",522
443,Monday,2,11/30/2015,"6,331","4,570","3,817",753
444,Tuesday,3,12/1/2015,"6,380","4,743","4,027",716
445,Wednesday,4,12/2/2015,"6,314","4,829","4,039",790
446,Thursday,5,12/3/2015,"6,160","4,584","3,835",749
447,Friday,6,12/4/2015,"4,859","3,615","2,995",620
448,Saturday,7,12/5/2015,"3,317","2,468","2,040",428
449,Sunday,1,12/6/2015,"4,715","3,550","2,972",578
