X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Fault
1404,1410,5202306,5202324,85,9,18,8948,97,119,1627,False,True,40,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,Pastry
1281,1302,4332564,4332815,3214,92,253,368381,33,140,1373,False,True,40,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,Pastry
49,62,4822354,4822392,386,15,38,36875,51,124,1373,False,True,40,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,Pastry
830,837,1874382,1874415,182,9,33,20751,99,132,1373,False,True,40,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,Pastry
91,104,2378173,2378236,527,19,63,48793,47,125,1387,False,True,40,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,Pastry
161,168,2891780,2891804,158,9,24,16680,80,119,1387,False,True,40,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,Pastry
1328,1338,2691161,2691189,214,10,28,19762,70,111,1387,False,True,50,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,Pastry
1251,1274,3874199,3874261,994,29,62,68851,15,119,1387,False,True,50,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,-0.4588,0.9994,Pastry
733,745,3957796,3957839,367,16,43,35856,55,127,1387,False,True,50,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,Pastry
12,24,304433,304472,320,15,39,32705,55,125,1353,False,True,70,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,Pastry
162,172,505964,506035,378,34,72,43323,77,135,1353,False,True,70,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,Pastry
0,10,1701480,1701528,210,36,48,17413,73,100,1333,False,True,40,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,Pastry
1617,1629,183688,183711,201,22,23,20993,79,126,1633,False,True,250,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,Pastry
1152,1162,284144,284198,386,35,54,44712,90,132,1687,False,True,200,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,Pastry
1259,1271,1918092,1918128,324,30,36,30269,65,124,1353,False,True,70,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,Pastry
1545,1557,19815,19841,234,20,26,23207,66,124,1627,False,True,40,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,Pastry
1580,1590,3884411,3884461,340,30,50,34655,88,116,1627,False,True,40,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,Pastry
450,458,1009978,1009999,98,16,21,10784,96,132,1690,True,False,60,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,Pastry
1625,1634,1702442,1702491,267,43,49,22785,67,110,1690,True,False,60,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,Pastry
1495,1502,3509718,3509731,56,12,13,5587,85,116,1686,True,False,60,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,Pastry
958,964,3550754,3550771,71,11,17,7502,91,124,1682,True,False,60,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,Pastry
1536,1548,43036,43048,90,14,12,7525,67,100,1688,True,False,60,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,Pastry
780,787,1686880,1686891,55,9,11,6124,95,125,1690,True,False,60,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,Pastry
1140,1147,2379116,2379129,58,9,13,6567,100,132,1690,True,False,60,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,Pastry
13,24,2512899,2512965,567,47,66,46365,51,109,1690,True,False,60,0.0154,0.219,0.1667,0.0065,0.234,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.944,Pastry
11,20,2845229,2845256,182,20,27,16337,72,109,1688,True,False,60,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,Pastry
1589,1599,3826564,3826588,154,20,24,13678,69,108,1650,True,False,69,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,Pastry
765,774,4157586,4157620,188,20,34,20528,95,125,1648,True,False,69,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,Pastry
1268,1277,5437033,5437060,146,20,27,15572,88,126,1646,True,False,69,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,Pastry
333,346,5683008,5683014,51,14,7,6902,120,149,1650,True,False,69,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,Pastry
1287,1299,1005865,1005895,184,25,30,18593,85,119,1650,True,False,100,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,Pastry
1088,1096,1094617,1094629,67,10,12,7416,94,132,1710,True,False,100,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,Pastry
1255,1261,718602,718617,64,10,15,7013,99,123,1360,True,False,100,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,Pastry
707,714,807870,807880,53,10,10,5039,81,111,1360,True,False,100,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,Pastry
1186,1193,238656,238667,60,10,11,6863,100,132,1362,True,False,120,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,Pastry
626,635,2071945,2071956,76,14,11,8063,84,126,1362,True,False,120,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,Pastry
1503,1510,893849,893861,66,9,12,6625,87,118,1632,True,False,100,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,Pastry
1152,1161,969900,969911,70,9,11,7846,99,127,1632,True,False,100,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,Pastry
1533,1542,1031539,1031599,382,43,60,38206,77,118,1632,True,False,100,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,Pastry
788,796,1060712,1060732,110,13,20,11126,84,116,1630,True,False,100,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,Pastry
34,40,914648,914661,51,8,13,5369,95,116,1654,True,False,100,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,Pastry
1604,1612,1194800,1194814,63,15,14,5232,73,94,1656,True,False,100,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,Pastry
1610,1618,1944129,1944138,56,12,9,4674,71,101,1656,True,False,100,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,Pastry
1617,1628,2095494,2095507,89,14,13,7804,77,100,1658,True,False,100,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,Pastry
1589,1598,2493647,2493675,190,21,28,18416,81,116,1648,True,False,100,0.0607,0.246,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.417,Pastry
482,490,11430396,11430416,81,15,20,8709,99,119,1656,True,False,100,0.5821,0.4938,0.4,0.0048,0.5333,1.0,1.0,1.9085,0.9031,1.301,0.6,-0.16,0.2792,Pastry
1067,1073,237702,237720,63,17,18,4616,58,93,1694,True,False,211,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,-0.4276,0.215,Pastry
623,631,309514,309526,60,9,12,4585,62,92,1694,True,False,211,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,-0.403,0.2018,Pastry
446,453,200561,200567,30,8,6,3022,80,116,1692,True,False,143,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,Pastry
375,384,519677,519708,209,24,31,24034,90,143,1692,True,False,143,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,Pastry
125,134,1334420,1334443,156,20,23,18654,101,141,1352,True,False,80,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,Pastry
124,140,2377039,2377320,2643,165,285,300024,64,140,1400,False,True,40,0.1771,0.4121,0.0569,0.0114,0.097,0.986,1.0,3.4221,1.2041,2.4487,0.9431,-0.1132,1.0,Pastry
1321,1339,513812,514011,2145,134,201,228995,16,133,1380,False,True,40,0.0594,0.4012,0.0904,0.013,0.1343,0.9901,1.0,3.3314,1.2553,2.2989,0.9096,-0.166,1.0,Pastry
817,843,66196,66362,1421,142,185,141034,47,126,1666,False,True,40,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,Pastry
808,816,161967,161984,103,13,17,11430,97,126,1666,False,True,40,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,Pastry
1327,1335,126951,126958,40,11,7,4014,89,111,1364,False,True,60,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.216,0.1622,Pastry
64,95,417618,418215,10914,481,604,1096282,21,141,1362,False,True,60,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,2.776,0.9481,-0.2153,1.0,Pastry
57,69,33796,33812,135,18,16,10915,55,97,1360,False,True,200,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,Pastry
921,930,638468,638484,114,14,17,13173,94,140,1392,False,True,220,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,Pastry
830,837,837868,837888,82,13,20,9671,106,128,1392,False,True,220,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,Pastry
1201,1213,3496093,3496125,275,19,32,28986,78,127,1362,False,True,40,0.2188,0.2839,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.1765,0.633,Pastry
1227,1238,3980733,3980769,289,25,36,32134,92,132,1364,False,True,40,0.1848,0.2702,0.3056,0.0081,0.44,1.0,1.0,2.4609,1.0414,1.5563,0.6944,-0.1313,0.6514,Pastry
959,974,4178002,4178041,313,36,39,35005,68,135,1364,False,True,40,0.5719,0.465,0.3846,0.011,0.4167,1.0,1.0,2.4955,1.1761,1.5911,0.6154,-0.1263,0.8682,Pastry
320,333,4383724,4383776,437,36,52,44883,63,132,1364,False,True,40,0.4692,0.3535,0.25,0.0095,0.3611,1.0,1.0,2.6405,1.1139,1.716,0.75,-0.1976,0.9236,Pastry
34,51,132507,132576,759,45,69,67978,44,124,1362,False,True,40,0.0499,0.3529,0.2464,0.0125,0.3778,1.0,1.0,2.8802,1.2305,1.8389,0.7536,-0.3003,0.997,Pastry
159,172,273320,273387,677,44,67,67597,72,124,1360,False,True,40,0.2338,0.2227,0.194,0.0096,0.2955,1.0,1.0,2.8306,1.1139,1.8261,0.806,-0.2199,0.9779,Pastry
1265,1278,31580,31602,211,18,22,17820,49,109,1364,False,True,100,0.1261,0.2622,0.5909,0.0095,0.7222,1.0,1.0,2.3243,1.1139,1.3424,0.4091,-0.3402,0.4729,Pastry
1343,1352,106512,106519,52,9,7,5049,87,109,1366,False,True,100,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,1.716,0.9542,0.8451,-0.2222,-0.2414,0.1687,Pastry
557,570,2425687,2425716,261,28,29,28261,91,126,1358,False,True,40,0.8203,0.3077,0.4483,0.0096,0.4643,1.0,1.0,2.4166,1.1139,1.4624,0.5517,-0.1541,0.6221,Pastry
1058,1066,367429,367455,135,18,26,15385,103,126,1690,False,True,70,0.7385,0.351,0.3077,0.0047,0.4444,1.0,1.0,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479,Pastry
780,787,1044544,1044587,181,29,43,20264,99,125,1690,False,True,70,0.9231,0.3987,0.1628,0.0041,0.2414,1.0,1.0,2.2577,0.8451,1.6335,0.8372,-0.1253,0.4979,Pastry
971,979,1246698,1246717,109,15,19,12212,100,127,1694,False,True,70,0.8442,0.2829,0.4211,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686,Pastry
374,382,2670756,2670772,102,11,16,11385,95,127,1692,False,True,70,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,2.0086,0.9031,1.2041,0.5,-0.128,0.2384,Pastry
1027,1034,2928247,2928259,51,8,12,5999,111,135,1692,False,True,70,0.7778,0.3929,0.5833,0.0041,0.875,1.0,1.0,1.7076,0.8451,1.0792,0.4167,-0.081,0.1892,Pastry
1554,1564,3375744,3375765,134,13,21,13356,89,111,1690,False,True,70,0.1491,0.3619,0.4762,0.0059,0.7692,1.0,1.0,2.1271,1.0,1.3222,0.5238,-0.2213,0.3509,Pastry
179,193,1280228,1280256,266,23,28,24547,49,126,1626,False,True,120,0.2202,0.3214,0.5,0.0086,0.6087,1.0,1.0,2.4249,1.1461,1.4472,0.5,-0.279,0.6453,Pastry
980,992,333332,333435,970,57,103,97514,66,133,1362,False,True,175,0.5433,0.2152,0.1165,0.0088,0.2105,1.0,1.0,2.9868,1.0792,2.0128,0.8835,-0.2146,0.998,Pastry
1579,1592,562576,562633,515,32,57,41622,46,108,1632,False,True,125,0.049,0.305,0.2281,0.008,0.4063,1.0,1.0,2.7118,1.1139,1.7559,0.7719,-0.3686,0.9491,Pastry
225,235,719009,719024,116,17,15,11656,71,127,1634,False,True,125,0.2754,0.2267,0.6667,0.0061,0.5882,1.0,1.0,2.0645,1.0,1.1761,0.3333,-0.215,0.266,Pastry
1465,1486,1837263,1837460,2490,146,197,283038,19,141,1634,False,True,125,0.1812,0.3981,0.1066,0.0128,0.1438,1.0,1.0,3.3962,1.3222,2.2945,0.8934,-0.112,1.0,Pastry
1360,1373,2094748,2094776,251,22,28,28050,89,140,1632,False,True,125,0.3174,0.3104,0.4643,0.008,0.5909,1.0,1.0,2.3997,1.1139,1.4472,0.5357,-0.1269,0.6015,Pastry
1155,1167,2124816,2124840,165,22,26,18742,87,134,1626,False,True,125,0.5646,0.4271,0.5,0.0074,0.5454,0.9231,1.0,2.2175,1.0792,1.3802,0.5,-0.1126,0.4763,Pastry
1325,1334,1959035,1959052,112,16,17,11439,84,127,1358,False,True,40,0.0353,0.268,0.5294,0.0066,0.5625,1.0,1.0,2.0492,0.9542,1.2305,0.4706,-0.2021,0.2699,Pastry
1260,1271,552783,552815,208,24,32,22478,84,126,1350,False,True,50,0.117,0.4091,0.3438,0.0082,0.4583,1.0,1.0,2.3181,1.0414,1.5051,0.6563,-0.1557,0.5822,Pastry
1245,1258,702370,702405,337,26,35,33379,68,125,1354,False,True,50,0.1418,0.2593,0.3714,0.0096,0.5,1.0,1.0,2.5276,1.1139,1.5441,0.6286,-0.2262,0.7347,Pastry
1687,1696,150712,150740,167,24,28,9559,23,94,1698,False,True,90,0.0024,0.3373,0.3214,0.0053,0.375,1.0,1.0,2.2227,0.9542,1.4472,0.6786,-0.5528,0.417,Pastry
1507,1516,188768,188800,200,24,32,21691,90,125,1696,False,True,90,0.2123,0.3056,0.2813,0.0053,0.375,1.0,1.0,2.301,0.9542,1.5051,0.7188,-0.1527,0.4763,Pastry
1688,1694,247330,247414,359,29,84,19226,30,93,1696,False,True,90,0.0024,0.2877,0.0714,0.0035,0.2069,1.0,1.0,2.5551,0.7782,1.9243,0.9286,-0.5816,0.7933,Pastry
1685,1692,297096,297166,349,33,70,24697,45,95,1698,False,True,90,0.0071,0.2878,0.1,0.0041,0.2121,1.0,1.0,2.5428,0.8451,1.8451,0.9,-0.4471,0.7776,Pastry
1687,1694,348227,348257,140,12,30,9253,38,101,1698,False,True,90,0.0047,0.3333,0.2333,0.0041,0.5833,1.0,1.0,2.1461,0.8451,1.4771,0.7667,-0.4836,0.3509,Pastry
1571,1583,435871,435916,379,35,45,37695,80,124,1700,False,True,90,0.1376,0.2982,0.2667,0.0071,0.3429,1.0,1.0,2.5786,1.0792,1.6532,0.7333,-0.223,0.8299,Pastry
757,766,487568,487588,121,13,20,13345,89,134,1698,False,True,90,0.8916,0.3278,0.45,0.0053,0.6923,1.0,1.0,2.0828,0.9542,1.301,0.55,-0.1384,0.3068,Pastry
1568,1583,564536,564621,762,63,86,78455,88,124,1698,False,True,90,0.1355,0.4024,0.1765,0.0088,0.2381,0.9884,1.0,2.8819,1.1761,1.9294,0.8235,-0.1956,0.9985,Pastry
1571,1585,689792,689890,861,78,98,90154,91,126,1696,False,True,90,0.1309,0.3724,0.1429,0.0082,0.1795,1.0,1.0,2.935,1.1461,1.9912,0.8571,-0.182,0.9992,Pastry
1575,1589,815462,815504,335,37,42,32766,86,124,1696,False,True,90,0.1262,0.4303,0.3333,0.0082,0.3784,1.0,1.0,2.525,1.1461,1.6233,0.6667,-0.2359,0.8705,Pastry
1579,1590,939827,939860,242,24,33,24672,90,119,1698,False,True,90,0.1272,0.3333,0.3333,0.0065,0.4583,1.0,1.0,2.3838,1.0414,1.5185,0.6667,-0.2035,0.5999,Pastry
1395,1407,1108752,1108782,264,26,30,25531,64,126,1696,False,True,90,0.3408,0.2667,0.4,0.0071,0.4615,1.0,1.0,2.4216,1.0792,1.4771,0.6,-0.2445,0.5951,Pastry
5,13,1137189,1137216,134,20,27,14605,94,125,1694,False,True,90,0.0059,0.3796,0.2963,0.0047,0.4,1.0,1.0,2.1271,0.9031,1.4314,0.7037,-0.1485,0.3601,Pastry
1578,1590,1208774,1208843,372,56,70,37930,77,125,1696,False,True,90,0.125,0.5507,0.1739,0.0071,0.2143,0.9857,1.0,2.5705,1.0792,1.8389,0.8261,-0.2034,0.9708,Pastry
1595,1611,1594430,1594517,794,59,87,84410,62,127,1696,False,True,90,0.1002,0.4296,0.1839,0.0094,0.2712,1.0,1.0,2.8998,1.2041,1.9395,0.8161,-0.1694,0.9993,Pastry
10,22,1678200,1678232,227,28,32,23706,77,127,1698,False,True,90,0.0118,0.4089,0.375,0.0071,0.4286,1.0,1.0,2.356,1.0792,1.5051,0.625,-0.1841,0.633,Pastry
1593,1608,1724027,1724129,927,65,103,89508,68,127,1698,False,True,90,0.106,0.3941,0.1471,0.0088,0.2308,0.9903,1.0,2.9671,1.1761,2.0086,0.8529,-0.2456,0.9997,Pastry
9,18,1743219,1743250,227,22,31,21864,74,126,1698,False,True,90,0.0106,0.1864,0.2903,0.0053,0.4091,1.0,1.0,2.356,0.9542,1.4914,0.7097,-0.2475,0.4613,Pastry
1505,1514,1751260,1751304,271,35,45,28268,85,127,1700,False,True,90,0.2188,0.3157,0.2045,0.0053,0.2571,0.9778,1.0,2.433,0.9542,1.6435,0.7954,-0.1851,0.6514,Pastry
1470,1488,1771553,1771642,771,50,89,76380,63,127,1698,False,True,90,0.2474,0.5187,0.2023,0.0106,0.36,1.0,1.0,2.887,1.2553,1.9494,0.7977,-0.2261,0.9998,Pastry
